Date,Narration,Withdrawal,Deposit,Closing Balance
05/01/2024,OPENING BALANCE,,100000.00,100000.00
08/01/2024,UPI/3123/SWIGGY BANGALORE/Ref No 123456/0000,450.00,,99550.00
10/01/2024,UPI/3124/AMAZON IN BANGALORE/Ref No 123457,2340.50,,97209.50
12/01/2024,NEFT/SALARY CREDIT/YOUR COMPANY LTD/0000,,75000.00,172209.50
15/01/2024,UPI/3125/BIGBASKET BANGALORE,3200.00,,169009.50
18/01/2024,UPI/3126/NETFLIX SUBSCRIPTION,649.00,,168360.50
20/01/2024,UPI/3127/OLA CABS BANGALORE,280.00,,168080.50
22/01/2024,UPI/3128/AIRTEL POSTPAID BILL,999.00,,167081.50
25/01/2024,UPI/3129/DMART SHOPPING,5400.00,,161681.50
28/01/2024,ATM CASH WITHDRAWAL,5000.00,,156681.50
30/01/2024,UPI/3130/JIO RECHARGE,299.00,,156382.50
31/01/2024,UPI/3131/ZERODHA SIP INVESTMENT,10000.00,,146382.50
02/02/2024,UPI/3132/GROFERS BANGALORE,1800.00,,144582.50
05/02/2024,UPI/3133/UBER BANGALORE,185.00,,144397.50
08/02/2024,NEFT/SALARY CREDIT/YOUR COMPANY LTD,,75000.00,219397.50
10/02/2024,UPI/3134/BOOKMYSHOW MOVIE,450.00,,218947.50
12/02/2024,UPI/3135/PHARMEASY ORDER,1250.00,,217697.50
15/02/2024,UPI/3136/RENT TRANSFER TO OWNER,15000.00,,202697.50
20/02/2024,UPI/3137/SPOTIFY SUBSCRIPTION,119.00,,202578.50
25/02/2024,UPI/3138/MYNTRA SHOPPING,3400.00,,199178.50
28/02/2024,UPI/3139/HDFC LOAN EMI,8500.00,,190678.50
